,MMM,ABT,ABBV,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,ANTM,AON,APA,AIV,AAPL,AMAT,ADM,ARNC,AJG,AIZ,T,ADSK,ADP,AZO,AVB,AVY,BLL,BAC,BK,BAX,BDX,BBY,BIIB,BLK,HRB,BA,BWA,BXP,BSX,BMY,CHRW,COG,CPB,COF,CAH,CBOE,KMX,CCL,CAT,CNC,CNP,CTL,CERN,CF,SCHW,CHTR,CVX,CB,CHD,CI,XEC,CINF,CTAS,CSCO,C,CFG,CTXS,CLX,CME,CMS,KO,CTSH,CL,CMCSA,CMA,CAG,CXO,COP,ED,STZ,COO,GLW,COST,COTY,CCI,CSX,CMI,CVS,DHI,DHR,DRI,DVA,DE,DAL,XRAY,DVN,DLR,DFS,DISCA,DISCK,DISH,DG,DLTR,D,DOV,DTE,DD,DUK,DXC,ETFC,EMN,ETN,EBAY,ECL,EIX,EW,EA,EMR,ETR,EOG,EFX,EQIX,EQR,ESS,EL,ES,RE,EXC,EXPE,EXPD,EXR,XOM,FFIV,FB,FAST,FRT,FDX,FIS,FITB,FE,FISV,FLIR,FLS,FMC,F,FTV,FBHS,BEN,FCX,GPS,GRMN,IT,GD,GE,GIS,GM,GPC,GILD,GPN,GS,GWW,HAL,HBI,HOG,HIG,HAS,HCA,HP,HSIC,HSY,HES,HPE,HLT,HOLX,HD,HON,HRL,HST,HPQ,HUM,HBAN,IDXX,INFO,ITW,ILMN,IR,INTC,ICE,IBM,INCY,IP,IPG,IFF,INTU,ISRG,IVZ,IRM,JBHT,SJM,JNJ,JCI,JPM,JNPR,KSU,K,KEY,KMB,KIM,KMI,KLAC,KSS,KHC,KR,LB,LH,LRCX,LEG,LEN,LLY,LNC,LKQ,LMT,L,LOW,LYB,MTB,M,MRO,MPC,MAR,MMC,MLM,MAS,MA,MKC,MCD,MCK,MDT,MRK,MET,MTD,MCHP,MU,MSFT,MAA,MHK,TAP,MDLZ,MNST,MCO,MS,MOS,MSI,MYL,NDAQ,NOV,NTAP,NFLX,NWL,NEM,NWSA,NWS,NEE,NLSN,NKE,NI,NBL,JWN,NSC,NTRS,NOC,NRG,NUE,NVDA,ORLY,OXY,OMC,OKE,ORCL,PCAR,PH,PAYX,PYPL,PNR,PBCT,PEP,PKI,PRGO,PFE,PM,PSX,PNW,PXD,PNC,RL,PPG,PPL,PFG,PG,PGR,PLD,PRU,PEG,PSA,PHM,PVH,QRVO,PWR,QCOM,DGX,RJF,RTN,O,REG,REGN,RF,RSG,RHI,ROK,ROST,RCL,CRM,STX,SEE,SRE,SHW,SPG,SWKS,SLG,SNA,SO,LUV,SPGI,SWK,SBUX,STT,SYK,SYF,SNPS,SYY,TROW,TGT,TEL,FTI,TXN,TXT,TMO,TIF,TJX,TSCO,TDG,TRV,TSN,UDR,ULTA,USB,UA,UAA,UNP,UAL,UNH,UPS,URI,UTX,UHS,UNM,VFC,VLO,VAR,VTR,VRSN,VRSK,VZ,VRTX,V,VNO,VMC,WMT,WBA,DIS,WM,WAT,WEC,WFC,WDC,WU,WRK,WY,WHR,WMB,WLTW,WYNN,XEL,XRX,XLNX,XYL,YUM,ZBH,ZION,ZTS
Gold,0.0,0.0,0.0,0.0,0.0,0.17563880196334858,0.0,0.0,0.27409261376197086,-0.09890371386447536,0.0,0.0,0.0,-0.2998117911027488,0.0,0.1618910893167649,0.2869125367362662,0.32580038942767053,0.0,0.23444072688755033,0.0,0.1722462044205592,-0.17534404344999097,0.10922822777009317,0.0,0.0,0.1260952195849916,-0.3118383392997874,0.1537139348475672,-0.14829899372294242,-0.2249006808201763,0.16218524201998646,0.16874961627980656,-0.27902206248784184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17645896876297434,0.0,0.0,0.0,0.0,-0.08628018214743136,-0.3430650645939073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5495944870622465,-0.2605084389887726,0.11480809343466856,0.15840059578472399,0.0,0.0,0.0,-0.22874712438889352,0.0,0.0,0.0,0.0,0.0,-0.13296661667693854,0.0,0.0,-0.31401244316805754,0.0,0.0,0.0,-0.15534241859600395,0.0,0.0,0.18859843968665835,0.2464762290446677,0.0,0.0,-0.5259825325696782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32520200958052276,-0.5549290093938667,0.0,0.0,-0.2293554526070795,0.14587970329800595,0.0,0.0,0.1449431606558076,0.0,-0.4504453916016133,0.0,0.0,0.0,0.1791627764482432,0.0,0.0,0.0,0.0,0.0,0.23128659013647937,0.0,0.0,0.0,0.20513926978456187,0.0,-0.1892242366009051,0.0,0.0,-0.28546441064151284,0.0,0.0,0.2425163693889988,-0.2740666648539569,0.0,0.0,0.0,0.0,0.0,0.16749256923547998,0.0,0.1823219618483426,0.0,0.13585632833804814,0.0,-0.42276197484568895,0.0,0.0,0.0,0.0,0.2929588943480692,0.0,0.0,0.0,0.15583726310763427,0.0,0.0,0.0,0.0,0.15116422456821751,0.0,0.1815438986898857,-0.14234336154539795,0.1744668393190861,0.0,0.0,0.24519478758944463,0.0,0.0,0.0,-0.17455621115544623,0.19343944327107046,0.0,0.0,-0.43913916888128285,0.13820183609012618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7732984899404118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29937933241012804,0.0,0.18179631340262808,0.0,0.0,-0.2531063358948549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1258099060691754,0.0,0.0,0.0,0.1441149637505827,-0.25712224568165915,0.0,0.0,-0.5368829979206214,0.0,0.1387120358476136,-0.11320694208094523,0.0,0.0,0.0,-0.1430711039043713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20919427778744087,0.0,0.0,0.0,0.0,-0.33014149196081494,-0.16392440589654142,0.0,0.0,-0.5304570498532631,0.0,0.0,0.0,0.0,-0.34939254711173023,0.0,0.0,0.0,0.0,0.0,0.0,0.24978624575778718,0.0,-0.4812174101489973,0.0,0.0,-0.1328964061804529,0.0,0.0,-0.354448478370797,-0.3323140201017277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134227222442066,0.0,0.0,0.0,0.0,-0.4196527009172599,0.0,0.0,0.0,0.0,0.0,0.0,0.23379378290714561,0.0,0.0,0.0,-0.42459351715796834,0.0,0.0,0.24939115781829208,0.0,0.0,0.0,0.3121432220383398,0.0,1.926178273212752,0.0,0.0,0.16615373312894613,0.0,0.0,0.24077501965408998,0.0,-0.3248599614305838,-0.20216495549346714,-0.3103841859644931,0.0,0.3930852721245038,0.0,-0.4719628438341181,0.0,0.1598880018180499,0.0,0.1429543522076072,0.0,0.0,-0.14718048224228533,0.0,0.0,0.0,-0.33748810763520615,0.0,0.0,0.0,0.0,0.19870918992734607,0.0,0.1951928037678618,0.0,-0.3933539808313712,0.0,0.0,0.1966001179406041,-0.1624381632056101,0.0,-0.15862633680596022,0.19007104640808967,-0.3856858976620457,0.17526165089782475,0.16842865546861968,0.19699587797189266,0.0,0.0,0.0,0.0,0.0,-0.32490603488683983,0.0,0.32358529882938836,0.23252351727038298,0.0,-0.5309120939634465,0.0,-0.3056969365247018,-0.13351121891467613,0.0,-0.1757149479287627,0.0,0.0,0.0,0.27230071448911225,0.0,0.0,0.0,0.0,-0.15529163351499733,0.11866259139046097,-0.32391043797151303,0.0,0.0,0.0,-0.1447748312540287,0.1481546448322079,-0.3014743742296505,0.0,0.0,0.0,0.0,-0.1053144311858291,0.2356079882903496,0.0,-0.1719504296239235,0.1256753083553047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2475737970114333,0.0,0.0,0.0,-0.38173024883806905,0.0,0.0,0.0,0.0,0.0,-0.40390311990616706,0.0,0.0,0.0,0.22487347978047173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1896299434949177,-0.33540702476780143,0.0,0.0,0.0,0.18737710810944902,0.0,0.18718741077799206,0.0,0.0,0.1532997742871171,0.0,0.0,0.0,0.0,0.1700709151684133,-0.47486121079840343,0.0
Intercept,0.0,0.0,0.0,0.0,0.0,0.0009417283429903273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010306080468222498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001604211496858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00113623543622924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006613365876227249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017856919043938812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016178919371725208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008924040146499414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006843550071735387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018812243314661468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010427105443931908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008308367414045019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006920409338332636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_Index,1.0615151568809622,1.0722023950311952,1.081053270591994,1.0532847636798333,1.337670360493436,1.5141761647671241,2.0496221587618404,0.778218158068338,0.632855857062363,0.7029403796381578,1.213481240449579,0.8961353839568703,1.1635820187534938,1.0043377937846159,1.126808264452226,0.6545781259649832,1.3899523768413853,1.7034198208230544,0.9482907068472465,0.9548696256889219,1.166153254996281,0.26002901192025185,0.7136811367372682,1.3271314766544373,0.5650170821325297,1.537791037201942,0.2761473863008491,1.408402608111333,0.17193203403197066,1.0471480554753523,0.8217430331127058,0.4510306658588735,0.3744925041425847,1.396760636911036,0.9501493027393721,1.066132079845562,1.0515406406239236,0.991114335951613,1.1756845951951516,1.214755096000897,0.8952208007292313,0.7300267724052022,1.0841816234140402,0.4845265244600882,1.2661805033123463,1.6424416310326875,0.674626563022872,1.463455497954999,0.7634338169465762,0.7673511477885884,0.6580276407046475,1.7392928468545354,1.0079119217158832,0.4351960602350058,0.46421121018606853,0.9434588914819511,0.7898019224537401,1.1517689595992677,0.9305398382873332,0.918118798140426,0.9382802043561257,1.0582567432598116,1.0131810907532042,1.2369964262205828,0.7907782263332317,1.2214937585985728,1.3032752474056475,0.6637412052757294,1.1391128423132506,0.7926219985194828,0.7784625605992365,0.7862310087284928,0.3015133847517112,1.1143221908123973,0.9506841841140963,0.4844178790992441,0.9733972854668004,0.9496218318768892,1.475244761377308,1.1107765694964074,0.4224650355236943,1.008723687649747,0.9344284312970186,1.288797910161414,1.2759332363867761,0.9373218001800752,0.8522118781781427,0.6700105907882594,0.44350614223744744,0.8792235652241963,1.1087619269326827,0.7528375721438111,1.0437914834400703,1.2357509805516647,1.1377951966332345,1.103168811075853,0.8703765026432242,0.46140656566773913,0.6545700390522793,0.21782897509154678,0.4470431438546547,0.9463612200058069,0.4757504100710193,0.8817719036238989,1.051430096490188,0.5811472600540276,1.121224089328163,0.9972734582096818,0.19553244419794022,0.6702053188458442,0.9295345955404697,1.2475270627635922,0.8121594473602918,0.7234080109734964,0.4576641774435638,1.1196061734792615,1.0205268126680749,0.8422932022907434,0.9499289665456861,0.9420631699315553,0.6882778582629073,0.9482601134490551,1.1991113327267684,1.1313944640806384,0.7309406490556517,1.2996557308743497,0.6507662863344044,1.170028530715631,0.8581717803258262,0.8858637014683806,1.1462917240701844,0.814172260136293,0.7460457960572773,0.20929683225802959,0.9983021412548458,0.190789513699489,1.1976635118064762,0.17144773413605174,1.1942158448249878,1.2500728864141206,1.1133993631420285,1.0663606722462935,0.9610091191079784,0.7742312325423586,0.4665696118663947,1.1943687394537763,1.18107041855268,1.121978234959444,0.25425106271867776,1.0287703776465533,0.7712749422973894,0.6330548739897611,0.4521756305848248,0.4185798894603924,0.8614508021219687,0.24636502999682436,0.5627011596966217,0.2996513407393763,0.8038108116335353,0.924934512004973,0.384732012147322,0.7939678332221958,1.058043950180811,1.2373892468001597,1.0301152089760262,0.5238932196146525,1.2126924722018786,0.8391041550438485,0.9380199649524241,0.2842709856905892,0.854096326886671,0.8936169858079623,1.3199600270788108,1.117900520659598,0.9480981813445648,1.0151665541765924,1.1173160263431718,1.125059723083113,1.6915078167429352,0.8825325672247163,0.8626713408950936,0.95247993015014,0.8940624206547684,0.8709070377151059,0.4506458823723373,1.051654454652859,0.7084284550828168,0.9522498646585175,1.204749962542902,1.2222839155559702,0.8633372919558615,1.042617234330266,0.9178261227659474,0.9838820762178371,0.7685499413635719,0.7211149402044957,0.8919197091588528,1.0576041665228075,0.87242524057391,0.35983220829320484,1.4346166448801936,1.2305050213460198,0.9681041489392589,0.9295168346547391,0.9555513535586295,0.9123894269586308,0.5472032312037396,0.8247079238772248,1.3223576837806499,0.7316238412600036,0.9750414837861523,1.2674115350441775,0.8891653021727325,1.0840912107116898,1.5492318066811315,1.0823842724502362,1.3150570451337795,0.7683355735664814,0.9284304159244722,1.3121988404504237,1.0938333461933634,0.8604839987671735,0.7554336173022028,1.217360350877122,1.3315240381925755,1.1847092756811914,0.693300392515344,0.9057856422763606,0.37284349610120077,0.6969208284184903,0.9910508726978865,1.0186095706153713,0.9721306610146707,0.9226136629724124,0.43841061690008143,1.0752171622311615,0.42988657907566363,0.6253427490518529,0.9301246200568919,1.498749320717356,1.0202893230610308,0.6842151370046113,0.5988687676612955,1.0491373053845832,0.8833940965759113,1.6307894170864154,0.9910423146441065,0.9575161242744092,0.7370137896620159,1.27797108197576,0.9321793428862691,0.7890700688835258,0.8609398816618274,1.0871923459256614,1.027307001309184,0.863275530141476,0.9629141061407361,1.4300939228645697,1.1305703749169673,1.061990296510411,0.7641451173300889,0.9404652410489379,1.1138493447242273,1.3030039189594924,0.5523163357058294,0.4982694973272699,0.8820410129692544,0.810222836502112,0.7133121656734845,1.0593146153836173,1.146537285091733,1.419658682237184,1.8353911355343695,1.3741176752878166,0.4529033857481423,1.0034728700518503,0.6941553686611927,0.6665642677073643,0.8483488339215179,1.1704119404054734,1.3236505997017987,1.2185337699605174,0.86688416905413,1.1598258308813783,0.7847256371496124,1.1272403547137584,1.3978170454677634,1.7512895905110266,1.1342913946412139,0.4025282143583714,0.980932224677973,0.9655588245145212,0.24997696483348056,0.926173025899625,0.9931942202122884,0.2676222686858778,1.2772354829451202,0.8924372236660008,1.12160234468657,1.0919941833930005,0.7747859498459921,0.9645029592555212,1.2529489386271284,1.9229905809568797,0.726155777092833,0.8548228464803571,0.6616815331735456,0.9010305207295504,0.9838707590472333,1.0759814092333448,1.2239355386795197,0.8676556484042234,1.3432713787448103,1.032794986218025,0.8394509592910565,0.4437771032551822,1.2259670514041783,1.1751718388958357,0.7949602220447619,0.5749082743032548,0.9052012651879481,0.2579374823208289,1.1465132541951841,0.9230466909324533,1.0146712037741599,0.8992705052531285,0.27259759056717314,1.162275645521371,0.4558107659801354,0.8246039850973563,0.7315691072417184,1.1790622381461917,0.2745723692895281,0.3072740359275378,0.867269374078769,1.0264717585372283,1.4660010012850864,1.1655799899672228,1.1131899569977126,0.7675401543671564,1.2880579389183269,0.8204813223907035,0.46507942429482274,0.4940304549099944,1.1301317732672347,1.086646666690987,0.5781969278539271,1.2947338586959978,1.2289382545129277,0.8847803130931486,1.226261825650475,1.446106400394527,1.3942687354172814,0.7829269651641183,0.3424874878009531,0.9374343430523093,0.5138408418787181,1.4530261244443674,0.7072788055384781,0.9325595438489611,0.16523527687641956,0.9238102247351604,1.088767813155934,1.2142442602079797,0.6912764725921675,1.1613167966670905,0.9813911763139611,1.1220629911587905,1.1016328647328943,0.6343263701751538,1.22553279824905,0.7746219806490385,1.094312838367955,1.0868891770619444,1.2924134719450744,1.0766861400932293,1.1251388254541281,0.9280461915422943,0.7165630877311973,0.8618236690231964,1.082905803144934,0.7171870954780062,0.7170730511691904,0.4600373819281794,0.8209828430542636,0.8156606440362978,1.2949605921649063,1.2990348712516027,1.070208733145456,1.0628834969653358,0.9518874088765179,0.9629990648069692,1.7717247241684966,0.9538856476708534,0.7182736048508677,1.1546583660058527,0.8582790129582931,1.0175078645237827,0.8984106385184988,0.3402131675853376,1.0484623757641673,0.8431628483703971,0.4754270275098492,1.3891489731327957,1.1948313099657961,0.6158735528197844,1.095561900906811,0.6253025901078767,0.8789914847495444,0.784001092685204,0.6338658211165269,0.989268685887495,0.22545295972925714,0.9350196037025448,1.4940996329840286,0.7488381794469592,1.1927255189021069,0.8576844580722744,0.9794207584985642,0.8959567627879927,0.7306035555361251,1.1614744712157012,0.20441221184666863,1.1038703158306622,1.4089276999530846,1.0644553629974878,0.7350805200839117,0.9617429475786516,1.025763874272575,1.0103476269583642
NaturalGas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033681272021578087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017386651476003977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020773302833458957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil,0.0,-0.019397770125437547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021463939312083142,0.0,0.0,-0.04081115137415022,0.0,0.0,-0.04533127753555666,0.0,0.0,0.0,0.03638377722028946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023429000996109766,0.0,0.0,0.10721061266538214,-0.02411197675768102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027700848248037375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06044391632361102,0.0,0.0,0.0,0.0,0.0,-0.03868265474750964,0.0,0.0,0.0,0.0,0.0,0.04737451667691833,0.0,0.0,0.04865108938461594,0.0,0.0,0.0,0.0971040705455511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12652877355045433,0.11081192653427349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034356594018784735,0.0,0.12113809227466639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03859991535537953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09543675077981269,0.0,0.0,0.0,-0.02326361898539419,0.0,0.0,0.0,0.02246445348949821,0.0,0.0,-0.02602610056534983,0.05287500352191299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04409204956005317,0.0,0.0,0.0,0.0,0.0,0.06463043473772451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07845915516709684,0.0,0.0,0.0,0.0,0.0,0.09004874579079722,-0.057304003314040904,0.0,0.1310706049501569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02180943965556201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04551510087190956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042930158113222476,0.0,0.0,0.1639245763191334,0.10564848498988526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021409475549380497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03970945787139552,0.0,0.0,0.0,0.08765266427809923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10794327602470945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05724607226249005,0.0,0.09718384251702825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041044675608100156,0.0,0.08635421294027668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024106607563876333,0.0,0.0,0.0,0.0,0.0,0.0,-0.023354419364034547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03827440357117101,-0.03984121259962594,0.0,-0.03454569474622006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02088293928445941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08741012971971855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12213929004576389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039378142952265605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023018736443017405,0.0,0.022744269691717788,0.0,0.0,0.0,0.05520674909316371,-0.020855327396779186,0.044619811555323394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
