,index,CIK,Date first added,Founded,GICS Sub Industry,GICS Sector,Headquarters Location,SEC filings,Security
54,AVB,915912,1/10/2007,0,Residential REITs,Real Estate,"Arlington, Virginia[3]",reports,"AvalonBay Communities, Inc."
55,AVY,8818,12/31/1987,0,Paper Packaging,Materials,"Glendale, California",reports,Avery Dennison Corp
56,BLL,9389,10/31/1984,0,Metal & Glass Containers,Materials,"Broomfield, Colorado",reports,Ball Corp
57,BAC,70858,6/30/1976,0,Diversified Banks,Financials,"Charlotte, North Carolina",reports,Bank of America Corp
58,BK,1390777,3/31/1995,0,Asset Management & Custody Banks,Financials,"New York, New York",reports,The Bank of New York Mellon Corp.
59,BAX,10456,9/30/1972,1931,Health Care Equipment,Health Care,"Deerfield, Illinois",reports,Baxter International Inc.
60,BDX,10795,9/30/1972,1897,Health Care Equipment,Health Care,"Franklin Lakes, New Jersey",reports,Becton Dickinson
61,BBY,764478,6/29/1999,0,Computer & Electronics Retail,Consumer Discretionary,"Richfield, Minnesota",reports,Best Buy Co. Inc.
62,BIIB,875045,11/13/2003,0,Biotechnology,Health Care,"Cambridge, Massachusetts",reports,Biogen Inc.
63,BLK,1364742,4/4/2011,0,Asset Management & Custody Banks,Financials,"New York, New York",reports,BlackRock
64,HRB,12659,11/30/1986,0,Specialized Consumer Services,Consumer Discretionary,"Kansas City, Missouri",reports,H&R Block
65,BA,12927,0,1916,Aerospace & Defense,Industrials,"Chicago, Illinois",reports,Boeing Company
66,BWA,908255,12/19/2011,0,Auto Parts & Equipment,Consumer Discretionary,"Auburn Hills, Michigan",reports,BorgWarner
67,BXP,1037540,4/3/2006,0,Office REITs,Real Estate,"Boston, Massachusetts",reports,Boston Properties
68,BSX,885725,2/24/1995,0,Health Care Equipment,Health Care,"Marlborough, Massachusetts[4]",reports,Boston Scientific
69,BMY,14272,0,1989,Health Care Distributors,Health Care,"New York, New York",reports,Bristol-Myers Squibb
70,CHRW,1043277,3/2/2007,0,Air Freight & Logistics,Industrials,"Eden Prairie, Minnesota",reports,C. H. Robinson Worldwide
71,COG,858470,6/23/2008,0,Oil & Gas Exploration & Production,Energy,"Houston, Texas",reports,Cabot Oil & Gas
72,CPB,16732,0,1869,Packaged Foods & Meats,Consumer Staples,"Camden, New Jersey",reports,Campbell Soup
73,COF,927628,7/1/1998,1935,Consumer Finance,Financials,"Tysons Corner, Virginia",reports,Capital One Financial
74,CAH,721371,5/27/1997,0,Health Care Distributors,Health Care,"Dublin, Ohio",reports,Cardinal Health Inc.
75,CBOE,1374310,3/1/2017,0,Financial Exchanges & Data,Financials,"Chicago, Illinois",reports,Cboe Global Markets
76,KMX,1170010,6/28/2010,0,Specialty Stores,Consumer Discretionary,"Richmond, Virginia",reports,Carmax Inc
77,CCL,815097,12/22/1998,0,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,"Miami, Florida",reports,Carnival Corp.
78,CAT,18230,0,1925,Construction Machinery & Heavy Trucks,Industrials,"Deerfield, Illinois",reports,Caterpillar Inc.
79,CNC,1071739,3/30/2016,0,Managed Health Care,Health Care,"St Louis, Missouri",reports,Centene Corporation
80,CNP,1130310,7/31/1985,0,Multi-Utilities,Utilities,"Houston, Texas",reports,CenterPoint Energy
81,CTL,18926,3/25/1999,0,Alternative Carriers,Communication Services,"Monroe, Louisiana",reports,CenturyLink Inc
82,CERN,804753,4/30/2010,0,Health Care Technology,Health Care,"North Kansas City, Missouri",reports,Cerner
83,CF,1324404,8/27/2008,0,Fertilizers & Agricultural Chemicals,Materials,"Deerfield, Illinois",reports,CF Industries Holdings Inc
84,SCHW,316709,6/2/1997,0,Investment Banking & Brokerage,Financials,"San Francisco, California",reports,Charles Schwab Corporation
85,CHTR,1091667,9/8/2016,0,Cable & Satellite,Communication Services,"Stamford, Connecticut",reports,Charter Communications
86,CVX,93410,0,1879,Integrated Oil & Gas,Energy,"San Ramon, California",reports,Chevron Corp.
87,CB,896159,7/15/2010,0,Property & Casualty Insurance,Financials,"Zurich, Switzerland",reports,Chubb Limited
88,CHD,313927,12/29/2015,0,Household Products,Consumer Staples,"Ewing, New Jersey",reports,Church & Dwight
89,CI,701221,6/30/1976,0,Managed Health Care,Health Care,"Bloomfield, Connecticut",reports,CIGNA Corp.
90,XEC,1168054,6/21/2014,0,Oil & Gas Exploration & Production,Energy,"Denver, Colorado",reports,Cimarex Energy
91,CINF,20286,12/18/1997,0,Property & Casualty Insurance,Financials,"Fairfield, Ohio",reports,Cincinnati Financial
92,CTAS,723254,3/1/2001,0,Diversified Support Services,Industrials,"Mason, Ohio",reports,Cintas Corporation
93,CSCO,858877,12/1/1993,0,Communications Equipment,Information Technology,"San Jose, California",reports,Cisco Systems
94,C,831001,5/31/1988,0,Diversified Banks,Financials,"New York, New York",reports,Citigroup Inc.
95,CFG,759944,1/29/2016,0,Regional Banks,Financials,"Providence, Rhode Island",reports,Citizens Financial Group
96,CTXS,877890,12/1/1999,0,Application Software,Information Technology,"Fort Lauderdale, Florida",reports,Citrix Systems
97,CLX,21076,3/31/1969,1913,Household Products,Consumer Staples,"Oakland, California",reports,The Clorox Company
98,CME,1156375,8/11/2006,0,Financial Exchanges & Data,Financials,"Chicago, Illinois",reports,CME Group Inc.
99,CMS,811156,5/3/1999,0,Multi-Utilities,Utilities,"Jackson, Michigan",reports,CMS Energy
100,KO,21344,0,1886,Soft Drinks,Consumer Staples,"Atlanta, Georgia",reports,Coca-Cola Company
101,CTSH,1058290,11/17/2006,0,IT Consulting & Other Services,Information Technology,"Teaneck, New Jersey",reports,Cognizant Technology Solutions
102,CL,21665,0,1806,Household Products,Consumer Staples,"New York, New York",reports,Colgate-Palmolive
103,CMCSA,1166691,9/18/2015,0,Cable & Satellite,Communication Services,"Philadelphia, Pennsylvania",reports,Comcast Corp.
104,CMA,28412,12/1/1995,0,Diversified Banks,Financials,"Dallas, Texas",reports,Comerica Inc.
105,CAG,23217,8/31/1983,0,Packaged Foods & Meats,Consumer Staples,"Chicago, Illinois",reports,Conagra Brands
106,CXO,1358071,2/22/2016,0,Oil & Gas Exploration & Production,Energy,"Midland, Texas",reports,Concho Resources
107,COP,1163165,0,2002,Oil & Gas Exploration & Production,Energy,"Houston, Texas",reports,ConocoPhillips
108,ED,1047862,0,1823,Electric Utilities,Utilities,"New York, New York",reports,Consolidated Edison
109,STZ,16918,7/1/2005,0,Distillers & Vintners,Consumer Staples,"Victor, New York",reports,Constellation Brands
110,COO,711404,9/23/2016,0,Health Care Supplies,Health Care,"San Ramon, California",reports,The Cooper Companies
111,GLW,24741,0,1851,Electronic Components,Information Technology,"Corning, New York",reports,Corning Inc.
112,COST,909832,10/1/1993,0,Hypermarkets & Super Centers,Consumer Staples,"Issaquah, Washington",reports,Costco Wholesale Corp.
113,COTY,1024305,10/3/2016,0,Personal Products,Consumer Staples,"New York, New York",reports,"Coty, Inc"
114,CCI,1051470,3/14/2012,0,Specialized REITs,Real Estate,"Houston, Texas",reports,Crown Castle International Corp.
115,CSX,277948,9/30/1967,1980,Railroads,Industrials,"Jacksonville, Florida",reports,CSX Corp.
116,CMI,26172,3/31/1965,1919,Industrial Machinery,Industrials,"Columbus, Indiana",reports,Cummins Inc.
117,CVS,64803,0,1996,Health Care Services,Health Care,"Woonsocket, Rhode Island",reports,CVS Health
