Date,M_Index,Oil,Gold,NaturalGas
2015-01-02,,,,
2015-01-05,-0.018059638744832185,-0.060606041671271704,0.015077149308345472,-0.004975119657066318
2015-01-06,-0.009418966314627242,-0.04272020169005719,0.011398960794795743,0.014999985694885254
2015-01-07,0.012461165764721782,0.019125687331695618,-0.005891414149803653,0.00985220749181659
2015-01-08,0.017745026845995993,0.01072393599046828,-0.00420851895976293,-0.019512176967531936
2015-01-09,-0.00801356942882625,-0.016799339258031343,0.011385196369055883,-0.004975119657066318
2015-01-12,-0.00783356721427475,-0.05845320370680862,0.011086435260788896,0.0
2015-01-13,-0.002812692240794501,0.011461306828900009,-0.003373767752371082,0.0
2015-01-14,-0.006037218970945446,0.04249289922391264,-0.0016080097792615655,0.004999995231628418
2015-01-15,-0.009160591119682593,-0.05072467586518947,0.025175902263040006,-0.004975119657066318
2015-01-16,0.013114262658634246,0.058206167652312235,0.013064281211881523,-0.004999995231628418
2015-01-20,0.0021325827772069594,-0.05320109508296189,0.013712049879254229,-0.02512560405862696
2015-01-21,0.005048026748417422,0.017142886207217156,0.00024159749942587183,0.0051546341073744895
2015-01-22,0.014871007707461636,-0.019662924358270106,0.008049585228834255,-0.07179492383626973
2015-01-23,-0.005482798880874107,-0.029608444289435654,-0.007985306821000182,-0.005524856784194343
2015-01-26,0.0023417852596987476,-0.00885828286806667,-0.00998152990144674,-0.1055555239135828
2015-01-27,-0.013190515917899215,0.02482621723697709,0.011464376669647391,0.043478219019153386
2015-01-28,-0.01282433675184691,-0.04554257047025012,-0.00787784039319106,-0.029761877307950435
2015-01-29,0.009243560053749711,0.00710656772723639,-0.021552390797103027,-0.018404890477013436
2015-01-30,-0.012574921906261527,0.07661292570934819,0.022275544587827323,-0.1250000279396768
2015-02-02,0.012384062464258161,0.055243458401584844,-0.008343449208254805,0.05000003831727229
2015-02-03,0.014461163804598387,0.05856253953898016,-0.011190942147351168,0.02721085787382216
2015-02-04,-0.003807844138066896,-0.07292538669773851,0.0043783458565487265,-0.033112551411966895
2015-02-05,0.010095058234048215,0.04792040803462827,0.0017272502164005221,-0.04794524015282309
2015-02-06,-0.0027653409612474755,0.025021566698450348,-0.025864204796777424,0.050359750483805366
2015-02-09,-0.004475787668627107,0.019360230641475296,0.004467285755423989,-0.02054800672275059
2015-02-10,0.010653338336328977,-0.04954578404670562,-0.005873936049321848,0.020979085104515294
2015-02-11,0.0005802191315895655,-0.025195478374130276,-0.011817350480741395,0.0273972334300725
2015-02-12,0.009616805507174586,0.040106933917596344,0.0023062837940568404,-0.03333330154418945
2015-02-13,0.004116411152062627,0.029134545875330042,0.005454295543013465,-0.00689654492027858
2015-02-17,0.0015730852939983553,0.009991663886109281,-0.01669775525216033,0.020833312637276835
2015-02-18,9.52085688583626e-05,-0.031327296855382825,0.002844532329830063,-0.020408143405366563
2015-02-19,-0.0007138873639540577,-0.01106383952688661,-0.0034381460295276334,0.013888875091518038
